bedrooms,bathrooms,sqft_living,sqft_lot15,waterfront,condition,grade,sqft_basement,current_age,floors,zip_mean_price_sqft_raw,zipcode,price,,url
3,3,2710,14000,0,4,9,100,25,2,205,98056,878500,,"https://www.zillow.com/homes/for_sale/48921482_zpid/860000-900000_price/3441-3601_mp/globalrelevanceex_sort/47.581562,-122.118617,47.444517,-122.268992_rect/12_zm/"
4,2,2760,6451,0,3,7.5,200,100,2,245.24,98118,640000,,"https://www.zillow.com/homes/for_sale/Seattle-WA-98118/48794020_zpid/99578_rid/600000-650000_price/2401-2601_mp/globalrelevanceex_sort/47.573485,-122.235561,47.504997,-122.310749_rect/13_zm/"
4,3.5,3090,5227,0,4,9,0,25,2,208.61,98108,799950,,"https://www.zillow.com/homes/for_sale/Seattle-WA-98108/48926772_zpid/99568_rid/700000-850000_price/2801-3401_mp/globalrelevanceex_sort/47.576207,-122.277875,47.507722,-122.353063_rect/13_zm/"
4,3,2180,7200,0,4,10,630,49,2,271.584994,98052,869000,,"https://www.zillow.com/homes/for_sale/King-County-WA/48883019_zpid/207_rid/globalrelevanceex_sort/47.702239,-122.088468,47.66809,-122.126062_rect/14_zm/"
4,1.5,1420,7350,0,3,9,0,48,2,252.288639,98034,635000,,"https://www.zillow.com/homes/for_sale/King-County-WA/48762981_zpid/207_rid/globalrelevanceex_sort/47.772849,-122.099562,47.636304,-122.249937_rect/12_zm/"
